RNK,Player,Team Pos,F TEAM,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
69,Russell Wilson, Sea QB,FA,281/437,3150,26,13,101,526,5,0,0,0,356.7
70,Vernon Davis, SF TE,FA,0/0,0,0,0,0,0,0,70,785,6,149.5
71,Torrey Smith, Bal WR,FA,0/0,0,0,0,3,24,0,64,946,7,171.3
72,Greg Jennings, Min WR,FA,0/0,0,0,0,0,0,0,68,806,7,156.6
73,Giovani Bernard, Cin RB,FA,0/0,0,0,0,140,704,3,46,390,1,167.4
74,Tavon Austin, StL WR,FA,0/0,0,0,0,12,78,0,53,823,5,147.8
75,Anquan Boldin, SF WR,FA,0/0,0,0,0,1,12,0,70,887,6,161
76,Andrew Luck, Ind QB,FA,372/613,4061,26,12,70,289,3,0,0,0,355.4
77,BenJarvus Green-Ellis, Cin RB,FA,0/0,0,0,0,217,846,6,14,98,0,157.6
78,Steve Johnson, Buf WR,FA,0/0,0,0,0,0,0,0,80,1008,5,169.3
79,Rashard Mendenhall, Ari RB  ,FA,0/0,0,0,0,208,806,6,19,137,1,165.1
80,Shane Vereen, NE RB,FA,0/0,0,0,0,132,587,4,48,386,2,167.5
81,Sidney Rice, Sea WR  ,FA,0/0,0,0,0,0,0,0,61,940,7,165
82,Tony Romo, Dal QB,FA,417/627,4756,30,15,25,40,1,0,0,0,368.9
83,Kyle Rudolph, Min TE,FA,0/0,0,0,0,0,0,0,52,503,8,124.3
84,Daryl Richardson, StL RB,FA,0/0,0,0,0,161,706,5,38,289,1,167.6
85,T.Y. Hilton, Ind WR,FA,0/0,0,0,0,6,21,0,56,902,6,155.4
86,Miles Austin, Dal WR,FA,0/0,0,0,0,0,0,0,57,840,6,147
87,Vick Ballard, Ind RB,FA,0/0,0,0,0,162,630,6,14,90,0,129.7
88,Mike Williams, TB WR,FA,0/0,0,0,0,0,0,0,63,954,5,155.4
89,Mark Ingram, NO RB,FA,0/0,0,0,0,167,655,5,12,81,0,126.3
90,Owen Daniels, Hou TE,FA,0/0,0,0,0,0,0,0,58,702,5,127.7
91,Lance Moore, NO WR,FA,0/0,0,0,0,0,0,0,61,758,7,148.3
92,Isaiah Pead, StL RB,FA,0/0,0,0,0,110,502,2,10,98,1,92.5
93,Greg Olsen, Car TE,FA,0/0,0,0,0,0,0,0,63,747,5,134.7
94,Eli Manning, NYG QB,FA,318/532,4037,25,17,30,31,1,0,0,0,296.9
95,Le'Veon Bell, Pit RB,FA,0/0,0,0,0,95,398,4,22,155,0,98.3
96,Antonio Gates, SD TE,FA,0/0,0,0,0,0,0,0,50,573,7,124.3
97,Ben Roethlisberger, Pit QB,FA,287/449,3275,25,9,31,101,1,0,0,0,288.7
98,Kenny Britt, Ten WR  ,FA,0/0,0,0,0,0,0,0,41,656,5,114.6
99,Ben Tate, Hou RB,FA,0/0,0,0,0,132,587,4,8,62,0,104.6
100,Emmanuel Sanders, Pit WR,FA,0/0,0,0,0,3,14,0,67,877,4,145.4
101,Denarius Moore, Oak WR,FA,0/0,0,0,0,4,17,0,58,809,6,146.5
102,Isaac Redman, Pit RB  ,FA,0/0,0,0,0,104,406,3,20,165,1,98.5
103,Seahawks,Sea D/ST,FA,0/0,0,0,0,0,0,0,0,0,0,500.3
104,Bryce Brown, Phi RB,FA,0/0,0,0,0,120,556,3,12,89,0,96
105,Chris Givens, StL WR,FA,0/0,0,0,0,4,24,0,57,934,4,147.2
106,Brandon Myers, NYG TE,FA,0/0,0,0,0,0,0,0,73,685,5,135
107,Josh Gordon, Cle WR,FA,0/0,0,0,0,0,0,0,51,901,5,144.1
108,Alshon Jeffery, Chi WR,FA,0/0,0,0,0,0,0,0,60,865,5,145
109,Bernard Pierce, Bal RB,FA,0/0,0,0,0,115,539,2,6,46,0,85
110,Vincent Brown, SD WR,FA,0/0,0,0,0,0,0,0,59,723,6,137.8
111,Michael Vick, Phi QB,FA,225/378,2676,18,13,70,417,2,0,0,0,250.9
112,Fred Jackson, Buf RB,FA,0/0,0,0,0,97,387,3,19,118,1,90.7
113,49ers ,SF D/ST,FA,0/0,0,0,0,0,0,0,0,0,0,553.7
114,Michael Floyd, Ari WR,FA,0/0,0,0,0,0,0,0,53,686,3,111.6
115,Jared Cook, StL TE,FA,0/0,0,0,0,0,0,0,51,662,5,120.2
116,Knowshon Moreno, Den RB,FA,0/0,0,0,0,97,400,2,34,249,1,108.1
117,Shonn Greene, Ten RB  ,FA,0/0,0,0,0,110,430,6,8,59,0,96.9
118,Sam Bradford, StL QB,FA,322/531,3523,23,14,37,104,0,0,0,0,270.2
119,Jonathan Dwyer, Pit RB,FA,0/0,0,0,0,127,503,3,14,86,0,93.6
120,Golden Tate, Sea WR,FA,0/0,0,0,0,4,25,0,53,687,7,140.1
121,Malcom Floyd, SD WR  ,FA,0/0,0,0,0,0,0,0,43,696,5,121.1
122,Texans ,Hou D/ST,FA,0/0,0,0,0,0,0,0,0,0,0,483.3
123,Rueben Randle, NYG WR,FA,0/0,0,0,0,0,0,0,54,774,5,132.9
124,Jacquizz Rodgers, Atl RB,FA,0/0,0,0,0,91,396,1,41,345,1,114.2
125,Ryan Broyles, Det WR,FA,0/0,0,0,0,0,0,0,75,879,4,146.4
126,Jermichael Finley, GB TE,FA,0/0,0,0,0,0,0,0,65,743,4,130.8
127,Joique Bell, Det RB,FA,0/0,0,0,0,89,450,1,33,260,1,105.4
128,Jay Cutler, Chi QB,FA,278/456,3141,21,14,40,232,1,0,0,0,259.3
129,Roy Helu, Wsh RB,FA,0/0,0,0,0,61,284,1,33,319,2,99.4
130,Bears ,Chi D/ST,FA,0/0,0,0,0,0,0,0,0,0,0,421.9
131,Ronnie Hillman, Den RB,FA,0/0,0,0,0,101,453,2,24,175,2,102.9
132,Kendall Wright, Ten WR,FA,0/0,0,0,0,0,0,0,70,846,5,148.1
133,Bengals ,Cin D/ST,FA,0/0,0,0,0,0,0,0,0,0,0,394
134,DeAndre Hopkins, Hou WR  ,FA,0/0,0,0,0,0,0,0,42,562,5,107.2
135,Martellus Bennett, Chi TE,FA,0/0,0,0,0,0,0,0,48,573,6,117.3
136,Joe Flacco, Bal QB,FA,310/525,3692,20,12,32,27,1,0,0,0,257.5
137,Christine Michael, Sea RB,FA,0/0,0,0,0,96,451,3,15,140,0,91.2
138,Andre Roberts, Ari WR,FA,0/0,0,0,0,3,21,0,57,678,3,116.7
139,Patriots ,NE D/ST,FA,0/0,0,0,0,0,0,0,0,0,0,356.8
140,Brandon Pettigrew, Det TE,FA,0/0,0,0,0,0,0,0,56,547,5,111.2
141,Andre Brown*, NYG RB,FA,0/0,0,0,0,93,341,5,11,76,1,92.5
142,Kenbrell Thompkins, NE WR,FA,0/0,0,0,0,0,0,0,53,588,3,101.8
143,Broncos ,Den D/ST,FA,0/0,0,0,0,0,0,0,0,0,0,394
144,Bilal Powell, NYJ RB,FA,0/0,0,0,0,120,481,4,16,102,0,100.8
145,Fred Davis, Wsh TE,FA,0/0,0,0,0,0,0,0,45,605,3,101
146,Mike Tolbert, Car RB  ,FA,0/0,0,0,0,48,176,5,34,285,1,103.9
147,Steelers ,Pit D/ST,FA,0/0,0,0,0,0,0,0,0,0,0,511.2
148,Rams ,StL D/ST,FA,0/0,0,0,0,0,0,0,0,0,0,400.3
149,Packers ,GB D/ST,FA,0/0,0,0,0,0,0,0,0,0,0,398.8
150,Stephen Gostkowski, NE K,FA,0/0,0,0,0,0,0,0,0,0,0,151.5
151,Blair Walsh, Min K,FA,0/0,0,0,0,0,0,0,0,0,0,153.5
152,Matt Bryant, Atl K  ,FA,0/0,0,0,0,0,0,0,0,0,0,146
153,Justin Tucker, Bal K,FA,0/0,0,0,0,0,0,0,0,0,0,145.5
154,Matt Prater, Den K,FA,0/0,0,0,0,0,0,0,0,0,0,138
155,Phil Dawson, SF K,FA,0/0,0,0,0,0,0,0,0,0,0,140
156,Randy Bullock, Hou K,FA,0/0,0,0,0,0,0,0,0,0,0,135.5
157,Josh Brown, NYG K,FA,0/0,0,0,0,0,0,0,0,0,0,132
158,Sebastian Janikowski, Oak K,FA,0/0,0,0,0,0,0,0,0,0,0,133
159,David Akers, Det K,FA,0/0,0,0,0,0,0,0,0,0,0,128.5
160,Brian Hartline, Mia WR,FA,0/0,0,0,0,0,0,0,46,657,3,105.2
161,Andy Dalton, Cin QB,FA,307/520,3446,24,16,36,131,1,0,0,0,274.4
162,Mikel Leshoure, Det RB,FA,0/0,0,0,0,55,207,6,14,87,0,76.4
163,Justin Blackmon, Jac WR,FA,0/0,0,0,0,2,20,0,47,601,3,102.3
164,Mike Goodson, NYJ RB,FA,0/0,0,0,0,90,383,2,26,203,1,95.6
165,Michael Bush, Chi RB,FA,0/0,0,0,0,120,458,6,6,35,0,98.8
166,Greg Little, Cle WR  ,FA,0/0,0,0,0,2,16,0,49,567,3,101
167,Daniel Thomas, Mia RB,FA,0/0,0,0,0,99,388,3,11,72,0,77.9
168,Nate Washington, Ten WR  ,FA,0/0,0,0,0,1,12,0,41,552,3,95
169,Josh Freeman, TB QB,FA,298/550,3771,24,17,41,149,0,0,0,0,278.4
170,Carson Palmer, Ari QB,FA,321/535,4087,25,18,20,21,0,0,0,0,286.2
171,Pierre Thomas, NO RB,FA,0/0,0,0,0,94,422,0,40,327,1,108.8
172,Johnathan Franklin, GB RB,FA,0/0,0,0,0,96,437,2,38,307,1,118
173,Jordan Cameron, Cle TE  ,FA,0/0,0,0,0,0,0,0,53,599,3,102.9
174,Danny Woodhead, SD RB,FA,0/0,0,0,0,74,365,0,45,391,1,110
175,Santana Moss, Wsh WR,FA,0/0,0,0,0,3,12,0,42,533,3,92.3
176,Matt Schaub, Hou QB,FA,354/570,4117,23,12,20,7,0,0,0,0,293.6
177,Robert Turbin, Sea RB  ,FA,0/0,0,0,0,67,288,3,16,109,0,72.4
178,Jacoby Jones, Bal WR,FA,0/0,0,0,0,3,18,0,48,620,3,103.1
179,Philip Rivers, SD QB,FA,352/552,3789,26,16,25,35,0,0,0,0,289.1
180,Jonathan Stewart*, Car RB,FA,0/0,0,0,0,73,327,2,19,154,0,75.4
181,Ryan Tannehill, Mia QB,FA,283/477,3249,18,11,49,227,2,0,0,0,258.3
182,Kendall Hunter, SF RB  ,FA,0/0,0,0,0,105,472,2,9,58,0,78.5
183,Dwayne Allen, Ind TE  ,FA,0/0,0,0,0,0,0,0,45,543,4,99.3
184,Darrius Heyward-Bey, Ind WR,FA,0/0,0,0,0,2,18,0,37,530,3,90
185,Marcel Reece, Oak RB,FA,0/0,0,0,0,47,208,0,56,482,1,106.2
186,Robert Woods, Buf WR,FA,0/0,0,0,0,3,24,0,41,514,3,91.1
187,Aaron Dobson, NE WR,FA,0/0,0,0,0,0,0,0,41,454,4,88.4
188,LaRod Stephens-Howling, Pit RB,FA,0/0,0,0,0,47,216,1,34,235,1,77.3
189,Coby Fleener, Ind TE  ,FA,0/0,0,0,0,0,0,0,40,467,4,89.2
190,Jeremy Kerley, NYJ WR,FA,0/0,0,0,0,1,21,0,64,754,2,117.1
191,Jermaine Gresham, Cin TE,FA,0/0,0,0,0,0,0,0,46,533,3,92.8
192,Santonio Holmes, NYJ WR,FA,0/0,0,0,0,0,0,0,32,412,3,73.7
193,Ravens ,Bal D/ST,FA,0/0,0,0,0,0,0,0,0,0,0,382.7
194,Ryan Williams, Ari RB  ,FA,0/0,0,0,0,55,265,2,13,98,1,63.3
195,Nate Burleson, Det WR,FA,0/0,0,0,0,4,14,0,58,596,2,99.4
196,Brandon LaFell, Car WR,FA,0/0,0,0,0,2,23,0,45,644,2,99.9
197,Cowboys ,Dal D/ST,FA,0/0,0,0,0,0,0,0,0,0,0,343.3
198,Cordarrelle Patterson, Min WR,FA,0/0,0,0,0,3,25,0,24,388,3,71.6
199,Jordan Todman, Jac RB,FA,0/0,0,0,0,51,214,2,14,108,1,60.8
200,Julius Thomas, Den TE,FA,0/0,0,0,0,0,0,0,46,547,3,94.2
201,Justin Forsett, Jac RB,FA,0/0,0,0,0,48,202,1,15,119,1,56.4
202,Keenan Allen, SD WR,FA,0/0,0,0,0,3,18,0,32,389,3,73.5
203,Rod Streater, Oak WR  ,FA,0/0,0,0,0,0,0,0,41,498,3,86.8
204,Dan Bailey, Dal K,FA,0/0,0,0,0,0,0,0,0,0,0,129.5
205,Lance Dunbar, Dal RB,FA,0/0,0,0,0,80,351,2,10,61,1,72.2
